company_name,board_approval_date,address,board_amount,actual_benefit
Martco L.L.C,2012-10-23T00:00:00Z,"1695 Highway 490, Chopin, LA",92239997,13808327.55
ExPert Riser Solutions LLC,2014-12-09T00:00:00Z,"274 N. J. Theriot Rd, Golden Meadow, LA",23350562,4141428.86
James Marine Hahnville LLC,2012-10-23T00:00:00Z,"15442 River Road, Hahnville, LA",1462167,258364.91
Westlake Chemical OpCo LP,2013-10-22T00:00:00Z,"900 Hwy 108, Sulphur, LA",1859107,331850.6
"Sabine Pass LNG, LP",2013-10-22T00:00:00Z,"9243 Gulf Beach Hwy, Cameron, LA",739e6,202178295.49
"Sabine Pass LNG, LP",2014-12-09T00:00:00Z,"9243 Gulf Beach Hwy, Cameron, LA",508050543,154144612.48
Marathon Petroleum Company LP,2012-10-23T00:00:00Z,"155 Sugarcane Road, Garyville, LA",12032465,2284965.1
Calcasieu Refining Company,2012-10-23T00:00:00Z,"4359 West Tank Farm Road, Lake Charles, LA",25538175,4870669.31
"Shintech Louisiana, LLC",2013-10-22T00:00:00Z,"26270 LA Highway 405, Plaquemine, LA",1189923316,153382275.53
"Shintech Louisiana, LLC",2014-10-28T00:00:00Z,"26270 LA Highway 405, Plaquemine, LA",11249054,1697482.25
Cos-Mar Company,2012-10-23T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",4501910,580296.2
Cos-Mar Company,2012-10-23T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",3218034,414804.71
Westlake Chemical OpCo LP,2013-10-22T00:00:00Z,"900 Hwy. 108, Sulphur, LA",49757347,8881686.44
Amerchol Corporation,2012-10-23T00:00:00Z,"13875 Hwy 43, Greensburg, LA",5841076,1113336.97
Westlake Chemical OpCo LP,2012-12-11T00:00:00Z,"900 Hwy 108, Sulphur, LA",7842407,1429670.8
Cameron International Corporation,2014-10-28T00:00:00Z,"3007 Hwy 182 E, Berwick, LA",6552589,957333.25
"Georgia Pacific Consumer Operations, LLC",2012-10-23T00:00:00Z,"1000 West Mt Pleasant Road, Port Hudson, LA",220795258,36497456.15
PCS Nitrogen Fertilizer LP,2014-10-28T00:00:00Z,"LA Hwy 30 Hwy 3115, Geismar, LA",9778381,1548895.55
"Placid Refining Company, LLC",2013-02-26T00:00:00Z,"1940 LA Highway 1 North, Port Allen, LA",12531268,1532448.22
"Millard Food, LLC.",2013-02-26T00:00:00Z,"501 J. F. Smith Ave., Slidell, LA",3255788,812122.44
"Millard Food, LLC.",2014-02-25T00:00:00Z,"501 J. F. Smith Ave., Slidell, LA",173040,39764.59
Dow Chemical Company,2012-10-23T00:00:00Z,"21255 LA Highway 1, Plaquemine, LA",66113389,8795212.82
Albemarle Corporation,2012-10-23T00:00:00Z,"Gulf States Road, Baton Rouge, LA",1775918,293381.65
Shintech Louisiana LLC,2013-10-22T00:00:00Z,"60705 Hwy 404, White Castle, LA",55779149,7178776.48
"William C. New Development Company, LLC",2012-10-23T00:00:00Z,"6020 Railroad Avenue, Morgan City, LA",3002354,439544.63
"Bollinger Algiers, LLC",2012-10-23T00:00:00Z,"434 Powder St, New Orleans, LA",3468270,6499.53
"Ideal Steel, LLC",2012-10-23T00:00:00Z,"1289 Smede Highway, Broussard, LA",2279445,372023
Sasol Chemicals (USA) LLC,2013-10-22T00:00:00Z,"2201 Old Spanish Trail, Westlake, LA",8420367,1593975.47
Sasol Chemicals (USA) LLC,2013-10-22T00:00:00Z,"2201 Old Spanish Trail, Westlake, LA",10102312,1912506.8
"Western International Gas & Cylinders, Inc.",2014-10-28T00:00:00Z,"37091 HWY 30, GEISMAR, LA",153291,16836.02
"Cleco Power, LLC",2015-10-27T00:00:00Z,"275 Rodemacher Road, Lena, LA",980170155,159961752.22
"Tri-State Industries of Louisiana, LLC",2013-10-22T00:00:00Z,"1111 North 3rd Street, Alexandria, LA",61664,10193.06
Honeywell International,2012-10-23T00:00:00Z,"5525 Hwy 3115, Geismar, LA",4997771,730174.34
"Plastipak Packaging, Inc.",2012-10-23T00:00:00Z,"4101 Pardue Road, Pineville, LA",642933,107238.37
Phillips 66 Company,2012-10-23T00:00:00Z,"2200 Old Spanish Trail, Westlake, LA",1603784,299105.72
Eagle US 2 LLC,2012-10-23T00:00:00Z,"1300 PPG Drive, Westlake, LA",89974096,17032096.37
"Axiall, LLC",2012-10-23T00:00:00Z,"26100 Highway 405, Plaquemine, LA",87384878,11263910.77
"Turner Industries Group, LLC",2012-10-23T00:00:00Z,"1144 Lobdell Hwy. S, Port Allen, LA",2838670,407916.88
"Turner Industries Group, LLC",2014-10-28T00:00:00Z,"1144 Lobdell Hwy. S, Port Allen, LA",4692300,679541.78
Marathon Petroleum Company LP,2014-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",32e8,703534476.42
Marathon Petroleum Company LP,2012-10-23T00:00:00Z,"155 Sugarcane Road, Garyville, LA",6426248,1199519.21
