exemption_id,company_name,address,approval_date,amount
1,Martco L.L.C,"1695 Highway 490, Chopin, LA",2012-10-23,13808327.55
2,ExPert Riser Solutions LLC,"274 N. J. Theriot Rd, Golden Meadow, LA",2014-12-09,4141428.86
3,James Marine Hahnville LLC,"15442 River Road, Hahnville, LA",2012-10-23,258364.91
4,Westlake Chemical OpCo LP,"900 Hwy 108, Sulphur, LA",2013-10-22,331850.6
5,"Sabine Pass LNG, LP","9243 Gulf Beach Hwy, Cameron, LA",2013-10-22,202178295.49
6,"Sabine Pass LNG, LP","9243 Gulf Beach Hwy, Cameron, LA",2014-12-09,154144612.48
7,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2012-10-23,2284965.1
8,Calcasieu Refining Company,"4359 West Tank Farm Road, Lake Charles, LA",2012-10-23,4870669.31
9,"Shintech Louisiana, LLC","26270 LA Highway 405, Plaquemine, LA",2013-10-22,153382275.53
10,"Shintech Louisiana, LLC","26270 LA Highway 405, Plaquemine, LA",2014-10-28,1697482.25
11,Cos-Mar Company,"6325 Highway 75 River Road, Carville, LA",2012-10-23,580296.2
12,Cos-Mar Company,"6325 Highway 75 River Road, Carville, LA",2012-10-23,414804.71
13,Westlake Chemical OpCo LP,"900 Hwy. 108, Sulphur, LA",2013-10-22,8881686.44
14,Amerchol Corporation,"13875 Hwy 43, Greensburg, LA",2012-10-23,1113336.97
15,Westlake Chemical OpCo LP,"900 Hwy 108, Sulphur, LA",2012-12-11,1429670.8
16,Cameron International Corporation,"3007 Hwy 182 E, Berwick, LA",2014-10-28,957333.25
17,"Georgia Pacific Consumer Operations, LLC","1000 West Mt Pleasant Road, Port Hudson, LA",2012-10-23,36497456.15
18,PCS Nitrogen Fertilizer LP,"LA Hwy 30 Hwy 3115, Geismar, LA",2014-10-28,1548895.55
19,"Placid Refining Company, LLC","1940 LA Highway 1 North, Port Allen, LA",2013-02-26,1532448.22
20,"Millard Food, LLC.","501 J. F. Smith Ave., Slidell, LA",2013-02-26,812122.44
21,"Millard Food, LLC.","501 J. F. Smith Ave., Slidell, LA",2014-02-25,39764.59
22,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2012-10-23,8795212.82
23,Albemarle Corporation,"Gulf States Road, Baton Rouge, LA",2012-10-23,293381.65
24,Shintech Louisiana LLC,"60705 Hwy 404, White Castle, LA",2013-10-22,7178776.48
25,"William C. New Development Company, LLC","6020 Railroad Avenue, Morgan City, LA",2012-10-23,439544.63
26,"Bollinger Algiers, LLC","434 Powder St, New Orleans, LA",2012-10-23,6499.53
27,"Ideal Steel, LLC","1289 Smede Highway, Broussard, LA",2012-10-23,372023
28,Sasol Chemicals (USA) LLC,"2201 Old Spanish Trail, Westlake, LA",2013-10-22,1593975.47
29,Sasol Chemicals (USA) LLC,"2201 Old Spanish Trail, Westlake, LA",2013-10-22,1912506.8
30,"Western International Gas & Cylinders, Inc.","37091 HWY 30, GEISMAR, LA",2014-10-28,16836.02
31,"Cleco Power, LLC","275 Rodemacher Road, Lena, LA",2015-10-27,159961752.22
32,"Tri-State Industries of Louisiana, LLC","1111 North 3rd Street, Alexandria, LA",2013-10-22,10193.06
33,Honeywell International,"5525 Hwy 3115, Geismar, LA",2012-10-23,730174.34
34,"Plastipak Packaging, Inc.","4101 Pardue Road, Pineville, LA",2012-10-23,107238.37
35,Phillips 66 Company,"2200 Old Spanish Trail, Westlake, LA",2012-10-23,299105.72
36,Eagle US 2 LLC,"1300 PPG Drive, Westlake, LA",2012-10-23,17032096.37
37,"Axiall, LLC","26100 Highway 405, Plaquemine, LA",2012-10-23,11263910.77
38,"Turner Industries Group, LLC","1144 Lobdell Hwy. S, Port Allen, LA",2012-10-23,407916.88
39,"Turner Industries Group, LLC","1144 Lobdell Hwy. S, Port Allen, LA",2014-10-28,679541.78
