exemption_,company_na,address,approval_d,amount,join_permi,join_appli,join_lon,join_lat,distance
2,ExPert Riser Solutions LLC,"274 N. J. Theriot Rd, Golden Meadow, LA",2014/12/09,4141428.85999999987,812,Bollinger Fourchon,-90.216655560000007,29.128205560000001,3330.205901217653263
3,James Marine Hahnville LLC,"15442 River Road, Hahnville, LA",2012/10/23,258364.91000000000,80,Beverly Industries,-90.400999999999996,29.975999999999999,1817.041425339840544
5,"Sabine Pass LNG, LP","9243 Gulf Beach Hwy, Cameron, LA",2013/10/22,202178295.49000000954,865,Chevron Environmental Management Company,-93.883150000000001,29.762975000000001,2894.146764593453099
6,"Sabine Pass LNG, LP","9243 Gulf Beach Hwy, Cameron, LA",2014/12/09,154144612.47999998927,865,Chevron Environmental Management Company,-93.883150000000001,29.762975000000001,2894.146764593453099
8,Calcasieu Refining Company,"4359 West Tank Farm Road, Lake Charles, LA",2012/10/23,4870669.30999999959,992,Calcasieu Refining Company,-93.312970000000007,30.128689999999999,2152.227434864029874
11,Cos-Mar Company,"6325 Highway 75 River Road, Carville, LA",2012/10/23,580296.19999999995,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,1110.843685964975975
12,Cos-Mar Company,"6325 Highway 75 River Road, Carville, LA",2012/10/23,414804.71000000002,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,1110.843685964975975
16,Cameron International Corporation,"3007 Hwy 182 E, Berwick, LA",2014/10/28,957333.25000000000,2275,Gregory Rochel,-91.254527780000004,29.717999830000000,4541.325866934610531
18,PCS Nitrogen Fertilizer LP,"LA Hwy 30 Hwy 3115, Geismar, LA",2014/10/28,1548895.55000000005,2064,Shriver Construction,-91.005933330000005,30.222316670000001,2133.457099249141265
19,"Placid Refining Company, LLC","1940 LA Highway 1 North, Port Allen, LA",2013/02/26,1532448.21999999997,258,PLACID REFINING COMPANY,-91.199900000000000,30.474699999999999,3595.993444266655388
22,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2012/10/23,8795212.82000000030,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
23,Albemarle Corporation,"Gulf States Road, Baton Rouge, LA",2012/10/23,293381.65000000002,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
26,"Bollinger Algiers, LLC","434 Powder St, New Orleans, LA",2012/10/23,6499.53000000000,572,Regional Transit Authority,-90.062393999999998,29.949021999999999,2412.025821763696968
28,Sasol Chemicals (USA) LLC,"2201 Old Spanish Trail, Westlake, LA",2013/10/22,1593975.46999999997,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,3548.010109488730905
29,Sasol Chemicals (USA) LLC,"2201 Old Spanish Trail, Westlake, LA",2013/10/22,1912506.80000000005,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,3548.010109488730905
30,"Western International Gas & Cylinders, Inc.","37091 HWY 30, GEISMAR, LA",2014/10/28,16836.02000000000,711,BASF Corporation,-90.987279999999998,30.203527000000001,2962.064604534434238
