idx,PN,article_id,Date,CommentDeadline,Applicant,Type,Parish,Analyst,Phone,Email,NoticeURL,PlatsURL,CommentsURL,LIVEMAPURL,Notice,Plats,Comments,LIVEMAP,LDEQAI,LatDMS,LongDMS,Latitude,Longitude,WetlandAcres,ImpactGIS,WetlandNotes,ImpactType,OilGas,Description,Source,TenacreQ,fPlatsURL,fLIVEMAPURL,fCommentsURL,Year,,,,,,,,,,,,,,,,
3064,MVN-2015-1642-WB,http://scott.dada.pink/n/1284884/,8/21/2017,9/10/2017,Louisiana DWF,404,Offshore,Herman,(504) 862-2287,Darlene.C.Herman@usace.army.mil,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2015_1642_PNall.pdf?ver=2017-08-21-182647-617,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1284884/mvn-2015-1642-wb/,,,,,,,,,,27.9470458,-93.2034206,0.00,0,,Restoration or Mitigation ,Yes,jackets in the West Cameron 648 artificial reef site to provide structural habitat for the purpose of enhancing fishing opportunities in the Gulf of Mexico,,,,,,2017,,,,,,,,,,,,,,,,
3063,MVN-2017-00847 WQQ,http://scott.dada.pink/n/1284676/,8/21/2017,9/10/2017,Walter Oil and Gas Corporation,404,Iberia,Oestringer,(504) 862-2272,Amy.l.oestringer@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1284676/mvn-2017-00847-wqq/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/MVN_2017_00847%20WQQ%20PN%20ALL.pdf?ver=2017-08-21-145554-140,,,,,,,,,,29.998158,-91.559722,3.92,2,,Oil and Gas Facilities ,Yes,"The applicant proposes to clear and fill for construction of an access road, ring levee and well pad to drill the Topaz Prospect Well to produce gas",,,,,,2017,,,,,,,,,,,,,,,,
3062,P20151166,,8/30/2017,9/19/2017,Apache Corporation,CUP,Terrebonne,Zachary,(225)342-6862,Andi.Zachary@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20151166,http://sonlite.dnr.state.la.us/sundown/cart_prod/pkg_crm00100_forms.cart_menu?pcup_num=P20151166,,,,,,,,,,29.4920806,-91.1836246,7.99,2,,Oil and Gas Facilities ,Yes,"Apache Corporation is proposing to drill the North Deer Island prospect located in Terrebonne Parish, Louisiana.",,,,,,2017,,,,,,,,,,,,,,,,
3061,P20170584,,8/30/2017,9/19/2017,Manson Construction Co.,CUP,Plaquemines ,Pecot,(225)342-0884,Jay.Pecot@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170584,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170584&pshow_appl_email=N,,,,,,,,,,29.1305856,-89.3316669,26.86,3,,Commercial Developments,No,Agitation dredging in support of effort to free the M/V Glory Trader from grounded condition,,,,,,2017,,,,,,,,,,,,,,,,
3060,P20121050,,8/26/2017,9/15/2017,LOUISIANA DEPARTMENT OF TRANSPORTATION & DEVELOPMENT,CUP,Plaquemines ,Hogan,(225)219-9530,Mark.Hogan@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application?pcup_num=P20121050&pline_id=5&pshow_appl_email=N,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20121050&pshow_appl_email=N,,,,,,,,,,29.3891667,-89.5980273,3.81,2,,Transportation Project ,No,The purpose of the project is to dredge the canal to the design template to allow for safe marine navigation,,,,,,2017,,,,,,,,,,,,,,,,
3059,P20170807,,8/29/2017,9/18/2017,7th Ward Drainage District,CUP,Vermilion ,Wolfe,(225)342-0565,Amelia.Wolfe@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170807,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170807&pshow_appl_email=N,,,,,,,,,,29.87,-92.177194,0.77,2,,Drainage Project,No,Clearing and excavating muck material from the canal and disposing of it on the north side of Bull Hole Canal,,,,,,2017,,,,,,,,,,,,,,,,
3058,P20170685,,8/29/2017,9/18/2017,Lance Bernuchaux,CUP,Saint Martin ,Wolfe,(225)342-0566,Amelia.Wolfe@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170685,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application?pcup_num=P20170685&pline_id=5&pshow_appl_email=N,,,,,,,,,,29.8367,-91.141995,0.17,2,,Residential Developments ,No,Remove a existing wood building and an existing deck,,,,,,2017,,,,,,,,,,,,,,,,
3057,P20170735,,8/29/2017,9/18/2017,Entergy,CUP,Cameron ,Britton,(225)342-7941,Ed.Britton@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170735,,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application?pcup_num=P20170735&pline_id=5&pshow_appl_email=N,,,,,,,,,30.0047056,-93.3455829,0.06,2,,Industrial Facilities ,Yes,"Place a single conduit with fiber optic cable, by directional bore, from existing Entergy substations.",,,,,,2017,,,,,,,,,,,,,,,,
3056,P20170483,,8/26/2017,9/15/2017,TERREBONNE PARISH CONSOLIDATED GOVERNMENT,CUP, Terrebonne ,Pecot,(225)342-0884,Jay.Pecot@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170483,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170483&pshow_appl_email=N,,,,,,,,,,29.4235417,-90.6045912,2.20,2,,Drainage Project,No,Construction of  a pump station ,,,,,,2017,,,,,,,,,,,,,,,,
3055,P20151166,,8/23/2017,9/12/2017,Apache Corporation,CUP,Terrebonne ,Zachary,(225)342-6862,Andi.Zachary@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20151166,,,,,,,,,,,29.4920806,-91.183625,8.00,2,,Oil and Gas Facilities ,Yes,Apache Corporation is proposing to drill the North Deer Island prospect located in Terrebonne Parish,,,,,,2017,,,,,,,,,,,,,,,,
3054,P20170679,,8/25/2017,9/14/2017,Steven Broussard,CUP,Cameron ,James,(225)342-7358,Ontario.James@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170679,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170679&pshow_appl_email=N,,,,,,,,,,29.8390639,-93.3251468,0.00,2,,Recreational Developments,No,Applicant wishes to build a timber warf,,,,,,2017,,,,,,,,,,,,,,,,
3053,P20170105,,8/25/2017,9/14/2017,PORT ARTHUR PIPELINE,CUP,Cameron ,Zachary,(225)342-6862,Andi.Zachary@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170105,,,,,,,,,,,29.7627833,-93.8829857,15.04,6,,Pipelines,Yes,Construct facilities that will interconnect with existing intrastate and interstate natural gas pipeline infrastructure,,,,,,2017,,,,,,,,,,,,,,,,
3052,P20170733,,8/24/2017,9/13/2017,LA DOTD,CUP,Lafourche ,James,(225)342-7358,Ontario.James@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170733,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170733&pshow_appl_email=N,,,,,,,,,,29.2475,-90.2108051,0.10,2,,Transportation Project ,No,Removal of concrete pier ,,,,,,2017,,,,,,,,,,,,,,,,
3051,P20170462,,8/24/2017,9/13/2017,Dean Martin,CUP,Terrebonne ,Pecot,(225)342-0884,Jay.Pecot@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170462,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170462&pshow_appl_email=N,,,,,,,,,,29.4244917,-90.5697662,0.00,2,,Residential Developments ,No,Pier construction,,,,,,2017,,,,,,,,,,,,,,,,
3050,P20170562,,8/23/2017,9/12/2017,City of New Orleans,CUP,Orleans and Jefferson ,Hogan,(225)219-9530,Mark.Hogan@la.gov,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170562,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170562&pshow_appl_email=N,,,,,,,,,,30.0287944,-90.1220273,5.53,2,,Utility Project ,No,Proposed repair of existing harbor and structures due to hurricane Katrina damage,,,,,,2017,,,,,,,,,,,,,,,,
3048,P20170729,,8/23/2017,9/12/2017,Philip Michael Peter,CUP,Saint Tammany Parish ,Hogan,(225)219-9530,Mark.Hogan@la.gov,,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170729&pshow_appl_email=N,,,,,,,,,,30.29305,-89.9341384,0.03,2,,Residential,No,Bulkhead on Bayou Lacomb ,,,,,,2017,,,,,,,,,,,,,,,,
3047,P20150159,,8/17/2017,9/6/2017,Miami Corporation,CUP,Cameron,Zumo,(225)342-7272,Stephanie.Zumo@la.gov,,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20150159&pshow_appl_email=N,,,,,,,,,,29.9014583,-93.2324329,-161.32,1,,Restoration or mitigation ,,created and enhanced brackish marsh within the Cameron-Creole Watershed,,,,,,2017,,,,,,,,,,,,,,,,
3046,MVN-1999-00983-CA,,8/21/2017,9/10/2017,Joey Verdin ,404,Terrebonne,Dirreen Arnold,(504) 862-2301,dirreen.s.arnold@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1281577/mvn-1999-00983-ca/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/1999_00983_PNall.pdf?ver=2017-08-17-142439-650,,,,,,,,,,29.405002,-90.703661,0.00,2,,Recreational Developments,No ,Dredge water bottom material for two boat slip,,10 acres or less,,,,2017,,,,,,,,,,,,,,,,
3045,MVN-2017-00847 WQQ,,8/21/2017,9/10/2017,Walter Oil and Gas Corporation,404,Iberia,Amy Oestringer,(504) 862-2272,Amy.l.oestringer@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1284676/mvn-2017-00847-wqq/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/MVN_2017_00847%20WQQ%20PN%20ALL.pdf?ver=2017-08-21-145554-140,,,,,,,,,,29.9986,",91.5554669",3.92,2,,Oil and Gas Facilities ,Yes,"The applicant proposes to clear and fill for construction of an access road, ring levee and well pad to drill the Topaz Prospect Well to produce gas",,10 acres or less,,,,2017,,,,,,,,,,,,,,,,
3044,MVN-2017-00883-CC,http://scott.dada.pink/n/1275536/,8/14/2017,9/3/2017,"Slats Lucas Aggregates, LLC",404,Ascension,Glenn Dobson,,Glenn.e.Dobson@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1275536/mvn-2017-00883-cc/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2017_00883_PNall.pdf?ver=2017-08-11-081450-467,,,,,,,,,,30.100278,-90.918611,33.00,3,,Industrial Developments ,No ,New aggregate operation ,,More than 10 acres ,,,,2017,,,,,,,,,,,,,,,,
